leader_id,leader_name,position,start_year,end_year,tenure_years,state_name,gender,status
1,Rajendra Prasad,President,1950,1962,12,Bihar,Male,Completed
2,Sarvepalli Radhakrishnan,President,1962,1967,5,Andhra Pradesh,Male,Completed
3,Zakir Husain,President,1967,1969,2,Telangana,Male,Completed
4,V. V. Giri,President,1969,1974,5,Odisha,Male,Completed
5,Fakhruddin Ali Ahmed,President,1974,1977,3,Assam,Male,Completed
6,Neelam Sanjiva Reddy,President,1977,1982,5,Andhra Pradesh,Male,Completed
7,Giani Zail Singh,President,1982,1987,5,Punjab,Male,Completed
8,R. Venkataraman,President,1987,1992,5,Tamil Nadu,Male,Completed
9,Shankar Dayal Sharma,President,1992,1997,5,Madhya Pradesh,Male,Completed
10,K. R. Narayanan,President,1997,2002,5,Kerala,Male,Completed
11,A. P. J. Abdul Kalam,President,2002,2007,5,Tamil Nadu,Male,Completed
12,Pratibha Patil,President,2007,2012,5,Maharashtra,Female,Completed
13,Pranab Mukherjee,President,2012,2017,5,West Bengal,Male,Completed
14,Ram Nath Kovind,President,2017,2022,5,Uttar Pradesh,Male,Completed
15,Droupadi Murmu,President,2022,Present,4,Odisha,Female,Active
1,Sarvepalli Radhakrishnan,Vice President,1952,1962,10,Andhra Pradesh,Male,Completed
2,Zakir Husain,Vice President,1962,1967,5,Telangana,Male,Completed
3,Varahagiri Venkata Giri,Vice President,1967,1969,2,Odisha,Male,Completed
4,Gopal Swarup Pathak,Vice President,1969,1974,5,Uttar Pradesh,Male,Completed
5,Basappa Danappa Jatti,Vice President,1974,1979,5,Karnataka,Male,Completed
6,Mohammad Hidayatullah,Vice President,1979,1984,5,Madhya Pradesh,Male,Completed
7,Ramaswamy Venkataraman,Vice President,1984,1987,3,Tamil Nadu,Male,Completed
8,Shankar Dayal Sharma,Vice President,1987,1992,5,Madhya Pradesh,Male,Completed
9,K. R. Narayanan,Vice President,1992,1997,5,Kerala,Male,Completed
10,Krishan Kant,Vice President,1997,2002,5,Punjab,Male,Completed
11,Bhairon Singh Shekhawat,Vice President,2002,2007,5,Rajasthan,Male,Completed
12,Mohammad Hamid Ansari,Vice President,2007,2017,10,Uttar Pradesh,Male,Completed
13,M. Venkaiah Naidu,Vice President,2017,2022,5,Andhra Pradesh,Male,Completed
14,Jagdeep Dhankhar,Vice President,2022,Present,4,Rajasthan,Male,Active
1,Jawaharlal Nehru,Prime Minister,1947,1964,17,Uttar Pradesh,Female,Completed
2,Gulzarilal Nanda,Prime Minister,1964,1964,0,Gujarat,Male,Completed
3,Lal Bahadur Shastri,Prime Minister,1964,1966,2,Uttar Pradesh,Male,Completed
4,Gulzarilal Nanda,Prime Minister,1966,1966,0,Gujarat,Male,Completed
5,Indira Gandhi,Prime Minister,1966,1977,11,Uttar Pradesh,Female,Completed
6,Morarji Desai,Prime Minister,1977,1979,2,Gujarat,Male,Completed
7,Charan Singh,Prime Minister,1979,1980,1,Uttar Pradesh,Male,Completed
8,Indira Gandhi,Prime Minister,1980,1984,4,Uttar Pradesh,Female,Completed
9,Rajiv Gandhi,Prime Minister,1984,1989,5,Delhi,Male,Completed
10,V. P. Singh,Prime Minister,1989,1990,1,Uttar Pradesh,Male,Completed
11,Chandra Shekhar,Prime Minister,1990,1991,1,Uttar Pradesh,Male,Completed
12,P. V. Narasimha Rao,Prime Minister,1991,1996,5,Telangana,Male,Completed
13,Atal Bihari Vajpayee,Prime Minister,1996,1996,0,Madhya Pradesh,Male,Completed
14,H. D. Deve Gowda,Prime Minister,1996,1997,1,Karnataka,Male,Completed
15,I. K. Gujral,Prime Minister,1997,1998,1,Punjab,Male,Completed
16,Atal Bihari Vajpayee,Prime Minister,1998,2004,6,Madhya Pradesh,Male,Completed
17,Manmohan Singh,Prime Minister,2004,2014,10,Punjab,Male,Completed
18,Narendra Modi,Prime Minister,2014,Present,12,Gujarat,Male,Active
1,H. J. Kania,Chief Justice of India,1950,1951,1,Gujarat,Male,Completed
2,M. Patanjali Sastri,Chief Justice of India,1951,1954,3,Tamil Nadu,Male,Completed
3,Mehr Chand Mahajan,Chief Justice of India,1954,1954,0,Punjab,Male,Completed
4,B. K. Mukherjea,Chief Justice of India,1954,1956,2,West Bengal,Male,Completed
5,S. R. Das,Chief Justice of India,1956,1959,3,West Bengal,Male,Completed
6,Bhuvneshwar Prasad Sinha,Chief Justice of India,1959,1964,5,Bihar,Male,Completed
7,P. B. Gajendragadkar,Chief Justice of India,1964,1966,2,Maharashtra,Male,Completed
8,A. K. Sarkar,Chief Justice of India,1966,1966,0,West Bengal,Male,Completed
9,K. Subba Rao,Chief Justice of India,1966,1967,1,Andhra Pradesh,Male,Completed
10,K. N. Wanchoo,Chief Justice of India,1967,1968,1,Rajasthan,Male,Completed
11,M. Hidayatullah,Chief Justice of India,1968,1970,2,Madhya Pradesh,Male,Completed
12,J. C. Shah,Chief Justice of India,1970,1971,1,Gujarat,Male,Completed
13,S. M. Sikri,Chief Justice of India,1971,1973,2,Punjab,Male,Completed
14,A. N. Ray,Chief Justice of India,1973,1977,4,West Bengal,Male,Completed
15,M. H. Beg,Chief Justice of India,1977,1978,1,Uttar Pradesh,Male,Completed
16,Y. V. Chandrachud,Chief Justice of India,1978,1985,7,Maharashtra,Male,Completed
17,P. N. Bhagwati,Chief Justice of India,1985,1986,1,Gujarat,Male,Completed
18,R. S. Pathak,Chief Justice of India,1986,1989,3,Uttar Pradesh,Male,Completed
19,E. S. Venkataramiah,Chief Justice of India,1989,1989,0,Karnataka,Male,Completed
20,Sabyasachi Mukharji,Chief Justice of India,1989,1990,1,West Bengal,Male,Completed
